"date","close","volume","open","high","low"
"2018/04/23","318.6900","8871631.0000","329.1500","331.2200","317.0800"
"2018/04/20","327.7700","9116941.0000","332.2200","336.5100","326.0000"
"2018/04/19","332.7000","8420032.0000","332.8800","335.3100","326.7700"
"2018/04/18","334.5200","11175190.0000","336.3000","338.8200","331.1000"
"2018/04/17","336.0600","33811180.0000","329.6600","338.6200","323.7700"
"2018/04/16","307.7800","19782250.0000","315.9900","316.1000","304.0000"
"2018/04/13","311.6500","12001850.0000","317.2900","317.4900","308.2300"
"2018/04/12","309.2500","10206660.0000","309.7190","311.1300","306.7500"
"2018/04/11","303.6700","14839040.0000","302.8850","311.6400","301.8200"
"2018/04/10","298.0700","10669840.0000","297.6800","298.9500","291.6900"
"2018/04/09","289.9300","9833068.0000","291.7700","299.5500","289.1200"
"2018/04/06","288.8500","11362890.0000","289.1000","298.8500","285.6500"
"2018/04/05","293.9700","10569180.0000","293.1500","299.1600","289.1100"
"2018/04/04","288.9400","12892670.0000","273.6300","290.3100","271.2239"
"2018/04/03","283.6700","12669270.0000","285.4500","291.2500","278.0100"
"2018/04/02","280.2900","13343310.0000","291.9400","292.8700","275.0500"
"2018/03/29","295.3500","19115850.0000","287.0000","295.3500","275.9000"
"2018/03/28","285.7700","18949520.0000","298.3900","298.8000","281.6100"
"2018/03/27","300.6900","12028240.0000","322.4900","322.9000","297.0000"
"2018/03/26","320.3500","11970640.0000","309.3600","321.0300","302.0000"
"2018/03/23","300.9400","9504181.0000","307.4100","310.7300","300.3600"
"2018/03/22","306.7000","7959714.0000","313.0700","314.1200","305.6600"
"2018/03/21","316.4800","5061869.0000","316.3500","319.4000","314.5110"
"2018/03/20","317.5000","5983240.0000","313.2600","319.5000","312.8000"
"2018/03/19","313.4800","9844201.0000","315.8000","317.0000","307.3400"
"2018/03/16","318.4500","7315268.0000","321.4200","324.1100","318.3700"
"2018/03/15","321.0900","5465467.0000","323.1700","323.4000","318.1400"
"2018/03/14","321.5500","10463840.0000","318.1600","323.8800","317.7000"
"2018/03/13","315.8800","12878750.0000","323.8700","325.8409","313.2780"
"2018/03/12","321.3000","20277420.0000","333.5600","333.9800","318.6000"
"2018/03/09","331.4400","14320240.0000","321.3300","331.4400","320.2300"
"2018/03/08","317.0000","11366700.0000","322.2000","322.9176","314.1300"
"2018/03/07","321.1600","17110740.0000","320.0000","323.7400","314.5500"
"2018/03/06","325.2200","18245450.0000","319.8800","325.7900","316.5000"
"2018/03/05","315.0000","18957770.0000","302.8500","316.9100","297.6000"
"2018/03/02","301.0500","13278500.0000","284.6500","301.1800","283.2300"
"2018/03/01","290.3900","11892990.0000","292.7500","295.2500","283.8300"
"2018/02/28","291.3800","7501444.0000","293.1000","295.7500","290.7800"
"2018/02/27","290.6100","9247414.0000","294.7700","297.3600","290.5900"
"2018/02/26","294.1600","10256830.0000","288.7500","295.6475","287.0100"
"2018/02/23","285.9300","7292789.0000","281.0000","286.0000","277.8100"
"2018/02/22","278.1400","8878337.0000","283.8800","284.5000","274.4500"
"2018/02/21","281.0400","9348109.0000","282.0700","286.6400","280.0100"
"2018/02/20","278.5500","7754759.0000","277.7400","285.8120","276.6100"
"2018/02/16","278.5200","8302883.0000","278.7300","281.9600","275.6900"
"2018/02/15","280.2700","10724010.0000","270.0300","280.5000","267.6300"
"2018/02/14","266.0000","10948740.0000","260.4700","269.8800","260.3300"
"2018/02/13","258.2700","6805745.0000","257.2900","261.4100","254.7000"
"2018/02/12","257.9500","8518564.0000","252.1400","259.1500","249.0000"
"2018/02/09","249.4700","16899060.0000","253.8500","255.7999","236.1100"
"2018/02/08","250.1000","9267707.0000","267.0800","267.6200","250.0000"
"2018/02/07","264.5600","8729209.0000","266.5800","272.4500","264.3250"
"2018/02/06","265.7200","12412240.0000","247.7000","266.7000","245.0000"
"2018/02/05","254.2600","11816490.0000","262.0000","267.8990","250.0300"
"2018/02/02","267.4300","9030600.0000","263.0000","270.6200","262.7100"
"2018/02/01","265.0700","9651161.0000","266.4100","271.9500","263.3800"
"2018/01/31","270.3000","11653530.0000","281.9400","282.2890","269.5800"
"2018/01/30","278.8000","12055820.0000","277.0000","282.7300","272.7000"
"2018/01/29","284.5900","17377340.0000","274.2000","286.8100","273.9200"
"2018/01/26","274.6000","10932370.0000","271.4850","274.6000","268.7600"
"2018/01/25","269.7000","15311560.0000","263.0000","272.3000","260.2300"
"2018/01/24","261.3000","17193780.0000","250.8800","261.7100","249.3110"
"2018/01/23","250.2900","27637170.0000","255.0500","257.7100","248.0200"
"2018/01/22","227.5800","17128090.0000","222.0000","227.7850","221.2000"
"2018/01/19","220.4600","10356210.0000","222.7500","223.4900","218.5000"
"2018/01/18","220.3300","8212094.0000","220.3400","220.5800","216.5500"
"2018/01/17","217.5000","9070403.0000","221.0000","221.1500","216.3200"
